pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,st_mass
"XO-5 b",12.78000000,378.20000000,4.18775580000,1230.00,5430.00,1.130000,1.040000
"Kepler-1825 b",1.42200732,2.61000000,1.02586996600,1520.00,5123.00,0.847000,0.828000
"Kepler-1074 b",1.25000000,2.10000000,5.94566534000,568.00,4002.00,0.570000,0.600000
"TIC 183374187 b",14.03364384,177.98390792,5.05907000000,1379.00,5768.00,1.344000,0.853000
"GJ 1061 d",1.16000000,1.67000000,13.06600000000,242.03,2953.00,0.156000,0.120000
"Kepler-1987 d",2.66000000,7.56000000,5.64491415400,744.00,4769.00,0.714000,0.799000
"Kepler-245 b",2.57000000,146.78000000,7.49019000000,753.00,5100.00,0.795000,0.856000
"Kepler-131 c",0.84000000,8.25000000,25.51690000000,615.00,5685.00,1.030000,1.020000
"Kepler-144 c",1.35000000,2.39000000,10.10466500000,1046.00,6075.00,1.235000,1.154000
"HD 93385 c",2.56000000,7.10000000,13.18000000000,937.43,5977.00,1.184840,1.040000
"Kepler-431 c",0.66800000,0.22900000,8.70300000000,951.00,6004.00,1.092000,1.071000
"HD 106270 b",12.40000000,3623.24383980,1888.00000000000,237.07,5509.00,2.660000,1.390000
"TOI-5720 b",1.09000000,4.30000000,1.43445550000,708.00,3325.00,0.383000,0.383000
"Kepler-203 d",1.44000000,33.90000000,11.32972000000,855.00,5821.00,1.114000,1.060000
"Kepler-230 c",2.04000000,4.82000000,91.77324200000,359.00,5588.00,0.817000,0.784000
"Kepler-1091 b",1.46000000,2.73000000,1.43474156400,1664.00,5851.00,1.030000,1.010000
"Kepler-1129 b",2.96000000,9.06000000,24.33978040000,737.00,5831.00,1.000000,1.000000
"Kepler-472 b",3.22000000,10.50000000,4.17625551400,876.00,4996.00,0.780000,0.850000
